"";"Publication.Year";"Count.of.Simple.Family.Members";"Simple.Family.Cited.by.Count";"Count.of.Other.References";"Count.of.Cited.by.Patents";"Count.of.Cites.Patents";"Count.of.Cited.by.Patents.Within.3.years";"Count.of.Cited.by.Patents.Within.5.years";"Simple.Legal.Status";"Count.of.claims";"Quality.of.Family";"Cluster"
"1280";1960;1;3;0;3;0;1;1;3;1;0;"2"
"1281";1985;2;1;0;1;2;0;0;3;5;0;"1"
"1282";1980;4;55;0;11;11;0;1;3;7;1;"1"
"1283";1914;1;0;0;0;0;0;0;3;29;0;"2"
"1284";1995;3;23;0;22;4;1;1;3;10;1;"1"
"1285";1977;4;2;0;1;0;0;0;3;13;0;"1"
"1286";1913;1;1;0;1;0;0;0;3;19;0;"2"
"1287";1960;1;0;0;0;0;0;0;3;1;0;"2"
"1288";1974;1;3;0;3;0;0;0;3;24;0;"1"
"1289";1971;3;2;0;2;0;0;0;3;2;0;"2"
"1290";1998;1;11;0;11;6;1;2;3;29;1;"1"
"1291";1989;1;3;0;3;0;1;1;3;52;0;"1"
"1292";1923;1;1;0;1;0;0;0;3;2;0;"2"
"1293";1998;1;3;0;3;0;0;0;3;5;0;"1"
"1294";2013;1;5;1;5;6;2;5;3;15;0;"1"
"1295";2006;1;0;0;0;0;0;0;3;1;0;"1"
"1296";2015;1;0;1;0;3;0;0;1;25;0;"1"
"1297";2020;1;0;0;0;0;0;0;4;8;0;"1"
"1298";2000;2;0;1;0;4;0;0;3;11;0;"1"
"1299";1913;1;0;0;0;0;0;0;3;4;0;"2"
"1300";2005;1;0;0;0;0;0;0;3;1;0;"1"
"1301";2011;2;2;1;2;5;2;2;3;3;0;"1"
"1302";1985;1;12;0;12;11;1;2;3;8;1;"1"
"1303";1910;1;0;0;0;0;0;0;3;37;0;"2"
"1304";1955;1;2;0;2;0;1;1;3;44;0;"2"
"1305";2020;2;0;0;0;12;0;0;4;17;1;"1"
"1306";1913;1;0;0;0;0;0;0;3;6;0;"2"
"1307";2006;1;4;0;4;0;4;4;3;13;0;"1"
"1308";1950;1;0;0;0;0;0;0;3;11;0;"2"
"1309";1977;1;19;0;19;5;0;0;3;12;1;"1"
"1310";2005;1;1;0;1;2;0;0;3;13;0;"1"
"1311";1912;1;0;0;0;0;0;0;3;8;0;"2"
"1312";1928;1;0;0;0;0;0;0;3;1;0;"2"
"1313";1964;1;0;0;0;0;0;0;3;1;0;"2"
"1314";1921;1;0;0;0;0;0;0;3;1;0;"2"
"1315";2003;1;25;9;25;22;11;12;3;24;1;"1"
"1316";1916;1;0;0;0;0;0;0;3;8;0;"2"
"1317";2003;4;62;1;0;4;0;0;1;71;1;"1"
"1318";1997;5;2;1;0;0;0;0;3;15;0;"1"
"1319";1998;1;0;0;0;0;0;0;3;3;0;"1"
"1320";2018;1;0;0;0;0;0;0;3;8;0;"1"
"1321";2010;1;0;0;0;0;0;0;3;2;0;"1"
"1322";1997;1;6;0;6;0;0;0;3;10;0;"1"
"1323";1991;1;27;1;27;6;1;1;3;6;1;"1"
"1324";1928;1;13;0;13;0;0;0;3;9;0;"2"
"1325";1995;1;78;0;78;14;5;11;3;33;1;"1"
"1326";1964;1;1;0;1;0;0;0;3;1;0;"2"
"1327";2020;3;3;0;0;43;0;0;4;24;1;"1"
"1328";1985;1;0;0;0;0;0;0;3;18;0;"1"
"1329";1989;1;44;1;44;6;1;3;3;19;1;"1"
"1330";2006;1;0;0;0;3;0;0;3;6;0;"1"
"1331";1924;1;0;0;0;0;0;0;3;1;0;"2"
"1332";2004;1;2;0;2;0;0;0;3;7;0;"1"
"1333";2008;1;1;0;1;0;0;0;3;4;0;"1"
"1334";1925;1;0;0;0;0;0;0;3;5;0;"2"
"1335";1922;1;0;0;0;0;0;0;3;11;0;"2"
"1336";1986;1;17;0;17;4;0;0;3;26;1;"1"
"1337";2020;1;0;0;0;3;0;0;2;10;0;"1"
"1338";1996;1;6;0;6;0;0;0;3;2;0;"1"
"1339";2014;5;7;0;7;7;7;7;1;44;1;"1"
"1340";1976;2;9;0;1;0;0;0;3;3;0;"1"
"1341";1959;1;0;0;0;0;0;0;3;9;0;"2"
"1342";1934;1;0;0;0;0;0;0;3;1;0;"2"
"1343";1968;1;7;0;7;0;0;0;3;13;0;"2"
"1344";1920;1;0;0;0;0;0;0;3;10;0;"2"
"1345";2006;2;10;0;6;23;0;2;3;19;1;"1"
"1346";2009;2;0;1;0;5;0;0;3;1;0;"1"
"1347";1967;1;0;0;0;0;0;0;3;1;0;"2"
"1348";2020;3;0;0;0;0;0;0;2;57;1;"1"
"1349";2017;1;2;0;2;0;2;2;3;10;0;"1"
"1350";1937;1;0;0;0;0;0;0;3;6;0;"2"
"1351";1913;1;0;0;0;0;0;0;3;7;0;"2"
"1352";2005;10;62;0;25;10;13;20;3;20;1;"1"
"1353";1949;1;3;0;3;0;0;0;3;10;0;"2"
"1354";1933;1;2;0;2;0;0;0;3;15;0;"2"
"1355";2002;1;0;0;0;2;0;0;3;8;0;"1"
"1356";1990;1;59;1;59;16;2;5;3;30;1;"1"
"1357";1966;1;2;0;2;0;0;0;3;1;0;"2"
"1358";2013;1;2;0;2;0;2;2;3;4;0;"1"
"1359";1914;1;0;0;0;0;0;0;3;29;0;"2"
"1360";2011;1;0;0;0;1;0;0;3;34;0;"1"
"1361";2016;3;0;0;0;7;0;0;1;5;0;"1"
"1362";1968;2;0;0;0;0;0;0;3;17;0;"2"
"1363";2008;3;7;0;5;12;3;3;3;20;1;"1"
"1364";2010;2;0;0;0;0;0;0;3;10;0;"1"
"1365";1936;1;0;0;0;0;0;0;3;4;0;"2"
"1366";1999;1;0;0;0;0;0;0;3;81;0;"1"
"1367";2020;3;0;0;0;10;0;0;1;39;0;"1"
"1368";2018;2;0;1;0;6;0;0;1;9;0;"1"
"1369";1983;8;9;0;0;0;0;0;3;14;0;"1"
"1370";1976;1;1;0;1;0;0;0;3;16;0;"1"
"1371";1973;7;3;0;0;5;0;0;3;7;1;"1"
"1372";2000;1;1;1;1;0;0;0;3;1;0;"1"
"1373";1909;1;0;0;0;0;0;0;3;17;0;"2"
"1374";2010;3;33;0;2;3;0;2;1;52;1;"1"
"1375";2007;1;15;0;15;0;4;9;3;14;0;"1"
"1376";2014;4;2;0;0;4;0;0;1;40;1;"1"
"1377";2008;2;0;0;0;0;0;0;3;13;0;"1"
"1378";1996;9;78;0;74;9;1;10;3;13;1;"1"
"1379";2011;1;4;0;4;4;0;0;3;39;0;"1"
"1380";2017;4;5;1;3;8;3;3;1;28;1;"1"
"1381";1911;1;0;0;0;0;0;0;3;11;0;"2"
"1382";2016;1;2;0;2;0;0;0;3;2;0;"1"
"1383";2014;1;4;0;4;0;4;4;3;10;0;"1"
"1384";2004;1;3;0;3;0;0;0;3;7;0;"1"
"1385";1993;1;6;0;6;0;0;0;3;5;0;"1"
"1386";1995;1;2;3;2;4;0;0;1;29;0;"1"
"1387";1996;1;11;0;11;14;1;2;3;16;1;"1"
"1388";1927;1;0;0;0;0;0;0;3;5;0;"2"
"1389";2010;1;2;0;2;0;1;1;3;12;0;"1"
"1390";2005;2;31;2;22;13;2;5;3;9;1;"1"
"1391";1999;1;0;0;0;0;0;0;3;19;0;"1"
"1392";2008;3;1;0;1;6;0;0;3;13;0;"1"
"1393";1967;1;2;0;2;0;0;0;3;1;0;"2"
"1394";2000;1;0;0;0;0;0;0;3;1;0;"1"
"1395";1992;2;0;0;0;0;0;0;3;5;0;"1"
"1396";1911;1;0;0;0;0;0;0;3;9;0;"2"
"1397";2004;1;9;0;9;0;0;0;3;10;0;"1"
"1398";2017;1;1;1;1;5;1;1;3;3;0;"1"
"1399";2006;7;3;0;0;6;0;0;3;43;0;"1"
"1400";1995;1;1;0;1;0;0;0;3;2;0;"1"
"1401";2007;1;1;0;1;5;0;0;3;15;0;"1"
"1402";1914;1;0;0;0;0;0;0;3;17;0;"2"
"1403";1951;1;0;0;0;0;0;0;3;2;0;"2"
"1404";1926;1;0;0;0;0;0;0;3;2;0;"2"
"1405";1929;1;0;0;0;0;0;0;3;9;0;"2"
"1406";2007;1;1;0;1;3;1;1;3;5;0;"1"
"1407";1977;1;30;0;30;15;1;1;3;12;1;"1"
"1408";1932;1;0;0;0;0;0;0;3;1;0;"2"
"1409";1913;1;0;0;0;0;0;0;3;31;0;"2"
"1410";2007;2;10;0;8;0;0;3;3;18;0;"1"
"1411";2017;1;0;0;0;0;0;0;3;5;0;"1"
"1412";1914;1;0;0;0;0;0;0;3;23;0;"2"
"1413";1966;1;0;0;0;0;0;0;3;1;0;"2"
"1414";2000;1;3;0;3;7;1;1;3;35;1;"1"
"1415";2003;3;0;0;0;0;0;0;1;3;0;"1"
"1416";1916;1;0;0;0;0;0;0;3;7;0;"2"
"1417";1993;3;8;0;1;0;0;1;3;52;0;"1"
"1418";2006;2;0;0;0;4;0;0;3;16;0;"1"
"1420";1965;2;3;0;1;0;0;0;3;10;0;"2"
"1421";2020;3;0;0;0;4;0;0;1;54;1;"1"
"1422";2020;14;11;0;0;3;0;0;4;38;1;"1"
"1423";1999;5;22;1;19;33;5;8;3;20;1;"1"
"1424";2005;8;101;3;31;10;13;19;3;36;1;"1"
"1425";1921;1;0;0;0;0;0;0;3;1;0;"2"
"1426";2003;1;3;0;3;2;0;0;3;5;0;"1"
"1427";2007;2;12;1;1;2;1;1;3;15;0;"1"
"1428";1960;1;6;0;6;0;1;2;3;23;0;"2"
"1429";2016;1;3;0;3;0;1;3;3;75;0;"1"
"1430";2003;3;16;0;3;5;0;0;3;1;0;"1"
"1431";2006;14;585;0;110;2;25;40;3;5;1;"1"
"1432";1928;1;0;0;0;0;0;0;3;1;0;"2"
"1433";2003;1;0;0;0;0;0;0;3;1;0;"1"
"1434";2008;2;3;0;1;0;0;0;3;16;0;"1"
"1435";1922;1;0;0;0;0;0;0;3;1;0;"2"
"1436";1958;1;0;0;0;0;0;0;3;2;0;"2"
"1437";1913;1;0;0;0;0;0;0;3;6;0;"2"
"1438";1912;1;0;0;0;0;0;0;3;14;0;"2"
"1439";2012;1;0;0;0;0;0;0;3;12;0;"1"
"1440";2007;1;1;0;1;0;0;0;3;2;0;"1"
"1441";1914;1;0;0;0;0;0;0;3;14;0;"2"
"1442";2004;1;4;0;4;0;2;2;3;14;0;"1"
"1443";1960;1;3;0;3;0;0;0;3;2;0;"2"
"1444";2017;1;0;0;0;0;0;0;3;5;0;"1"
"1445";1972;1;6;0;6;0;0;0;3;29;0;"1"
"1446";1985;1;17;0;17;13;1;2;3;19;1;"1"
"1447";1912;1;0;0;0;0;0;0;3;11;0;"2"
"1448";2017;1;0;0;0;0;0;0;3;9;0;"1"
"1449";2002;2;3;0;1;0;0;0;3;19;0;"1"
"1450";2011;1;0;0;0;0;0;0;3;5;0;"1"
"1451";1925;1;0;0;0;0;0;0;3;1;0;"2"
"1452";1978;1;76;0;76;9;4;6;3;35;1;"1"
"1453";2017;1;0;0;0;0;0;0;3;5;0;"1"
"1454";1973;1;24;0;24;7;0;0;3;10;1;"1"
"1455";1926;1;0;0;0;0;0;0;3;1;0;"2"
"1456";1991;4;32;1;19;7;3;5;3;14;1;"1"
"1457";1989;1;0;0;0;1;0;0;3;88;0;"1"
"1458";1926;1;0;0;0;0;0;0;3;1;0;"2"
"1459";2003;1;31;0;31;11;1;9;3;50;1;"1"
"1460";2010;2;1;1;1;5;0;0;3;4;0;"1"
"1461";2010;2;20;0;6;2;3;4;3;13;1;"1"
"1462";2020;6;0;0;0;0;0;0;2;28;1;"1"
"1463";2011;13;30;0;4;4;0;1;3;2;1;"1"
"1464";2010;1;4;0;4;39;3;3;3;9;1;"1"
"1465";2009;2;5;0;0;0;0;0;3;4;0;"1"
"1466";1961;1;0;0;0;0;0;0;3;1;0;"2"
"1467";1991;1;12;0;12;0;1;1;3;43;0;"1"
"1468";1949;1;5;0;5;0;0;0;3;13;0;"2"
"1469";1953;1;8;0;8;0;6;7;3;14;0;"2"
"1470";2002;3;9;0;6;6;0;0;1;3;0;"1"
"1471";1931;1;6;0;6;0;0;0;3;1;0;"2"
"1472";2020;1;0;0;0;0;0;0;2;3;0;"1"
"1473";1912;1;0;0;0;0;0;0;3;5;0;"2"
"1474";1910;1;0;0;0;0;0;0;3;7;0;"2"
"1475";1915;1;2;0;2;0;0;0;3;24;0;"2"
"1476";1977;10;37;0;11;19;0;0;3;9;1;"1"
"1477";1920;1;0;0;0;0;0;0;3;4;0;"2"
"1478";1992;3;3;1;0;0;0;0;3;18;0;"1"
"1479";2014;3;8;0;0;0;0;0;3;53;1;"1"
"1480";2004;3;20;0;19;11;11;13;3;8;0;"1"
"1481";2006;3;1;0;1;1;0;0;1;10;0;"1"
"1482";2006;1;0;0;0;0;0;0;3;8;0;"1"
"1483";1911;1;0;0;0;0;0;0;3;10;0;"2"
"1484";2020;2;4;0;0;0;0;0;4;19;0;"1"
"1485";1984;1;25;1;25;11;0;1;3;4;1;"1"
"1486";2007;2;1;0;1;0;1;1;3;15;0;"1"
"1487";1938;1;4;0;4;0;0;1;3;2;0;"2"
"1488";2001;4;30;0;29;16;3;4;3;44;1;"1"
"1489";1990;5;26;1;16;10;2;2;3;18;1;"1"
"1490";1920;1;0;0;0;0;0;0;3;19;0;"2"
"1491";2018;2;0;0;0;5;0;0;4;65;0;"1"
"1492";1994;2;7;0;0;2;0;0;3;6;0;"1"
"1493";1980;1;0;0;0;0;0;0;3;17;0;"1"
"1494";1933;1;0;0;0;0;0;0;3;2;0;"2"
"1495";1999;2;0;0;0;0;0;0;3;3;0;"1"
"1496";2009;1;3;0;3;7;1;3;3;11;0;"1"
"1497";1939;1;0;0;0;0;0;0;3;2;0;"2"
"1498";2011;2;3;0;0;1;0;0;3;10;0;"1"
"1499";1972;3;0;0;0;0;0;0;3;31;0;"1"
"1500";1956;1;7;0;7;0;2;2;3;32;0;"2"
"1501";1926;1;0;0;0;0;0;0;3;10;0;"2"
"1502";2007;2;21;0;21;1;2;5;3;16;0;"1"
"1503";2016;1;2;0;2;0;0;0;3;9;0;"1"
"1504";2010;1;0;0;0;0;0;0;3;5;0;"1"
"1505";1944;1;0;0;0;0;0;0;3;5;0;"2"
"1506";1985;1;0;0;0;0;0;0;3;19;0;"1"
"1507";2014;8;28;0;6;4;6;6;1;24;1;"1"
"1508";1991;1;50;1;50;11;6;7;3;32;1;"1"
"1509";1924;1;0;0;0;0;0;0;3;1;0;"2"
"1510";1910;1;0;0;0;0;0;0;3;27;0;"2"
"1511";1991;1;0;0;0;0;0;0;3;11;0;"1"
"1512";2017;1;0;0;0;1;0;0;3;3;0;"1"
"1513";1992;3;1;0;1;6;0;0;3;46;1;"1"
"1514";2002;1;42;0;42;24;3;9;3;33;1;"1"
"1515";1993;1;1;0;1;0;0;0;3;70;0;"1"
"1516";1915;1;0;0;0;0;0;0;3;8;0;"2"
"1517";2000;1;18;3;20;28;2;4;3;52;1;"1"
"1518";1916;1;0;0;0;0;0;0;3;11;0;"2"
"1519";2003;1;10;0;10;4;3;3;3;12;1;"1"
"1520";2004;1;1;0;1;0;0;0;3;23;0;"1"
"1522";1914;1;0;0;0;0;0;0;3;30;0;"2"
"1523";2017;1;0;0;0;0;0;0;3;5;0;"1"
"1524";1925;1;5;0;5;0;0;0;3;8;0;"2"
"1525";1914;1;0;0;0;0;0;0;3;5;0;"2"
"1526";1954;1;5;0;5;0;0;0;3;12;0;"2"
"1527";1942;1;0;0;0;0;0;0;3;1;0;"2"
"1528";2017;1;0;0;0;6;0;0;3;4;0;"1"
"1529";2002;1;14;0;14;0;7;9;3;73;1;"1"
"1530";1921;1;0;0;0;0;0;0;3;21;0;"2"
"1531";1994;1;8;0;8;0;1;1;3;20;0;"1"
"1532";2001;7;1;2;0;0;0;0;1;17;1;"1"
"1533";1985;1;36;0;36;10;2;8;3;44;1;"1"
"1534";2004;1;0;0;0;0;0;0;3;5;0;"1"
"1535";1974;2;11;0;11;1;0;0;3;6;1;"1"
"1536";1986;2;3;0;2;0;1;1;3;5;0;"1"
"1537";2000;1;2;0;2;0;0;0;3;5;0;"1"
"1538";2018;6;9;1;0;5;0;0;2;108;0;"1"
"1539";1912;1;0;0;0;0;0;0;3;23;0;"2"
"1540";2004;1;3;0;3;0;0;0;3;2;0;"1"
"1541";1996;1;0;1;0;0;0;0;3;7;0;"1"
"1542";2007;2;56;1;41;15;17;22;3;20;1;"1"
"1543";1994;4;48;0;46;9;4;4;3;14;1;"1"
"1544";2008;1;15;0;15;4;0;1;3;10;0;"1"
"1545";2009;1;3;0;3;0;0;1;3;4;0;"1"
"1546";2003;14;106;0;86;15;17;28;3;77;1;"1"
"1547";1980;1;1;0;1;16;1;1;3;16;0;"1"
"1548";2016;1;5;0;5;0;3;3;3;9;0;"1"
"1549";2016;1;0;0;0;0;0;0;3;7;0;"1"
"1550";2012;4;1;0;1;5;0;0;3;4;0;"1"
"1551";1922;1;2;0;2;0;0;0;3;1;0;"2"
"1552";2010;1;0;0;0;0;0;0;3;1;0;"1"
"1553";2009;1;5;0;5;0;2;4;3;4;0;"1"
"1554";1977;1;4;0;4;5;0;0;3;48;1;"1"
"1555";1990;1;1;0;1;0;1;1;3;79;0;"1"
"1556";1965;1;10;0;10;0;2;2;3;1;0;"2"
"1557";2017;3;0;0;0;4;0;0;1;22;0;"1"
"1558";1976;1;11;0;11;11;1;1;3;7;1;"1"
"1559";1939;1;4;0;4;0;0;0;3;11;0;"2"
"1560";2006;12;8;1;0;6;0;0;3;62;0;"1"
"1561";1960;1;8;0;8;0;0;0;3;1;0;"2"
"1562";1989;1;19;0;19;7;2;2;3;25;1;"1"
"1563";1937;1;2;0;2;0;0;0;3;1;0;"2"
"1564";2007;5;13;0;6;5;4;4;3;10;1;"1"
"1565";1988;2;2;0;0;0;0;0;3;51;0;"1"
"1566";2006;2;22;0;11;10;2;4;3;30;1;"1"
"1567";1989;1;0;0;0;0;0;0;3;23;0;"1"
"1568";1929;1;2;0;2;0;0;0;3;19;0;"2"
"1569";1951;1;3;0;3;0;0;0;3;12;0;"2"
"1570";1947;1;1;0;1;0;0;0;3;2;0;"2"
"1571";2012;15;11;0;0;0;0;0;3;15;1;"1"
"1572";1999;1;3;0;3;0;0;0;3;22;0;"1"
"1573";1948;1;0;0;0;0;0;0;3;13;0;"2"
"1574";1910;1;0;0;0;0;0;0;3;29;0;"2"
"1575";1928;1;2;0;2;0;0;0;3;1;0;"2"
"1576";1980;1;12;0;12;2;0;0;3;72;1;"1"
"1577";1998;1;0;0;0;0;0;0;1;1;0;"1"
"1578";1930;1;0;0;0;0;0;0;3;1;0;"2"
"1579";2010;1;4;0;4;0;0;1;3;1;0;"1"
"1580";2012;1;1;0;1;0;0;0;3;1;0;"1"
"1581";1995;8;45;2;42;38;3;4;3;27;1;"1"
"1582";1999;4;38;0;35;9;1;3;3;30;1;"1"
"1583";2004;3;43;0;30;9;5;9;3;37;1;"1"
"1584";1919;1;0;0;0;0;0;0;3;6;0;"2"
"1585";2020;2;6;0;0;0;0;0;4;14;0;"1"
"1586";2010;2;9;0;4;5;4;4;3;13;1;"1"
"1587";1956;1;10;0;10;0;0;0;3;30;0;"2"
"1588";2003;4;2;1;0;0;0;0;3;25;0;"1"
"1589";1972;1;0;0;0;0;0;0;3;2;0;"1"
"1590";2009;2;34;0;20;8;9;15;3;20;1;"1"
"1591";2013;1;13;0;13;6;5;13;3;6;0;"1"
"1592";2008;2;1;0;0;2;0;0;3;13;0;"1"
"1593";1949;1;0;0;0;0;0;0;3;9;0;"2"
"1594";1978;9;29;0;19;13;0;1;3;10;1;"1"
"1595";1914;1;0;0;0;0;0;0;3;3;0;"2"
"1596";2005;1;52;3;52;12;7;23;3;37;1;"1"
"1597";1919;1;0;0;0;0;0;0;3;8;0;"2"
"1598";1957;1;1;0;1;0;0;0;3;43;0;"2"
"1599";1911;1;0;0;0;0;0;0;3;6;0;"2"
"1600";1921;1;0;0;0;0;0;0;3;6;0;"2"
"1601";2018;6;183;2;0;4;0;0;2;27;1;"1"
"1602";2018;2;0;0;0;5;0;0;1;36;1;"1"
"1603";1913;1;0;0;0;0;0;0;3;21;0;"2"
"1604";1936;1;1;0;1;0;0;0;3;1;0;"2"
"1605";1975;1;50;0;50;7;1;2;3;3;1;"1"
"1606";2013;1;6;1;6;6;5;6;3;9;0;"1"
"1607";1990;1;2;0;2;0;2;2;3;27;0;"1"
"1608";1990;9;160;0;136;11;3;7;3;50;1;"1"
"1609";2003;3;13;0;11;8;3;3;3;19;1;"1"
"1610";1985;1;0;0;0;0;0;0;3;48;0;"1"
"1611";2003;17;20;0;0;3;0;0;1;53;0;"1"
"1612";1980;8;7;0;3;14;0;0;3;7;1;"1"
"1613";2004;7;112;0;89;64;18;33;4;43;1;"1"
"1614";1988;1;1;0;1;0;0;0;3;31;0;"1"
"1615";2009;2;0;0;0;0;0;0;3;10;0;"1"
"1616";1904;1;0;0;0;0;0;0;3;30;0;"2"
"1617";1975;2;0;0;0;0;0;0;3;59;0;"1"
"1618";1934;1;0;0;0;0;0;0;3;1;0;"2"
"1619";2011;5;49;0;24;19;3;9;3;49;1;"1"
"1620";1933;1;0;0;0;0;0;0;3;11;0;"2"
"1621";2001;1;1;0;1;0;0;0;3;14;0;"1"
"1622";2016;1;15;0;15;0;15;15;3;13;0;"1"
"1623";2011;1;0;1;0;3;0;0;3;3;0;"1"
"1624";2001;1;52;0;52;9;4;7;3;25;1;"1"
"1625";2008;1;4;0;4;0;4;4;3;15;0;"1"
"1626";1913;1;0;0;0;0;0;0;3;9;0;"2"
"1627";1914;1;0;0;0;0;0;0;3;3;0;"2"
"1628";1961;1;1;0;1;0;0;0;3;1;0;"2"
"1629";1983;1;0;1;0;4;0;0;3;12;0;"1"
"1630";1998;2;3;0;3;0;0;0;3;12;0;"1"
"1631";1990;1;0;1;0;6;0;0;3;45;1;"1"
"1632";2008;2;29;0;22;25;6;18;3;26;1;"1"
"1633";1912;1;0;0;0;0;0;0;3;6;0;"2"
"1634";2016;1;0;0;0;3;0;0;3;28;0;"1"
"1635";1925;1;1;0;1;0;0;0;3;1;0;"2"
"1636";1942;1;0;0;0;0;0;0;3;6;0;"2"
"1637";1958;1;2;0;2;0;0;0;3;10;0;"2"
"1638";1999;1;25;0;25;55;0;1;3;11;1;"1"
"1639";2003;12;108;0;95;48;18;23;3;53;1;"1"
"1640";1920;1;0;0;0;0;0;0;3;12;0;"2"
"1641";1911;1;0;0;0;0;0;0;3;31;0;"2"
"1642";2009;1;4;0;4;0;3;3;3;47;0;"1"
"1643";1932;1;1;0;1;0;0;0;3;1;0;"2"
"1644";1983;1;17;0;17;14;0;1;3;6;1;"1"
"1645";2011;15;89;0;0;39;0;0;4;4;1;"1"
"1646";1933;1;13;0;13;0;0;0;3;6;0;"2"
"1647";1920;1;1;0;1;0;0;0;3;31;0;"2"
"1648";1977;4;11;0;10;8;0;2;3;5;1;"1"
"1649";1989;1;6;0;6;6;0;0;3;93;0;"1"
"1650";1990;3;4;0;0;10;0;0;3;21;0;"1"
"1651";1928;1;2;0;2;0;0;0;3;7;0;"2"
"1652";1974;1;33;0;33;4;0;1;3;31;1;"1"
"1653";1928;1;0;0;0;0;0;0;3;6;0;"2"
"1654";1912;1;0;0;0;0;0;0;3;2;0;"2"
"1655";2016;1;0;0;0;0;0;0;3;10;0;"1"
"1656";1911;1;0;0;0;0;0;0;3;35;0;"2"
"1657";1979;1;13;0;13;17;2;2;3;12;1;"1"
"1658";1925;1;0;0;0;0;0;0;3;1;0;"2"
"1659";1936;1;0;0;0;0;0;0;3;1;0;"2"
"1660";1995;13;61;0;48;12;2;3;3;35;1;"1"
"1661";2001;3;4;1;4;8;0;0;3;14;0;"1"
"1662";2014;2;5;0;0;0;0;0;3;39;0;"1"
"1663";1999;1;5;0;5;5;2;2;1;4;0;"1"
"1664";2015;4;131;0;57;3;54;57;1;100;1;"1"
"1665";2007;1;5;0;5;1;1;1;3;17;0;"1"
"1666";1913;1;0;0;0;0;0;0;3;25;0;"2"
"1667";1989;1;67;0;67;7;2;3;3;52;1;"1"
"1668";1991;1;3;0;3;0;0;0;3;33;0;"1"
"1669";1922;1;0;0;0;0;0;0;3;1;0;"2"
"1670";2011;2;5;0;2;56;0;0;4;20;1;"1"
"1671";1997;2;0;0;0;2;0;0;3;1;0;"1"
"1672";1991;1;32;0;32;6;0;1;3;41;1;"1"
"1673";1932;1;0;0;0;0;0;0;3;19;0;"2"
"1674";1920;1;0;0;0;0;0;0;3;2;0;"2"
"1675";1968;1;2;0;2;0;0;0;3;14;0;"2"
"1676";1996;1;5;0;5;0;0;0;3;1;0;"1"
"1677";2014;3;4;0;0;0;0;0;3;1;0;"1"
"1678";1912;1;0;0;0;0;0;0;3;28;0;"2"
"1679";2002;13;62;0;53;22;7;27;3;39;1;"1"
"1680";2017;1;3;0;3;0;3;3;3;4;0;"1"
"1681";1922;1;0;0;0;0;0;0;3;7;0;"2"
"1682";1925;1;3;0;3;0;0;0;3;1;0;"2"
"1683";2015;1;9;0;9;0;9;9;3;1;0;"1"
"1684";2012;2;3;0;3;7;1;2;3;12;1;"1"
"1685";1999;3;35;0;23;19;4;7;3;17;1;"1"
"1686";2020;8;0;0;0;0;0;0;2;32;1;"1"
"1687";2009;7;41;1;1;4;0;1;3;12;1;"1"
"1688";1980;2;1;0;0;0;0;0;3;11;0;"1"
"1689";2014;2;0;0;0;0;0;0;1;3;0;"1"
"1690";2014;1;0;0;0;0;0;0;3;2;0;"1"
"1691";1979;2;0;0;0;0;0;0;3;15;0;"1"
"1692";1912;1;0;0;0;0;0;0;3;8;0;"2"
"1693";1995;5;19;0;19;12;0;0;3;75;1;"1"
"1694";1974;1;26;0;26;2;0;0;3;8;1;"1"
"1695";1999;1;2;1;2;0;0;0;3;1;0;"1"
"1696";2010;2;0;1;0;4;0;0;3;1;0;"1"
"1697";2013;2;0;1;0;5;0;0;3;6;0;"1"
"1698";1915;1;0;0;0;0;0;0;3;26;0;"2"
"1699";2012;5;10;0;6;6;4;4;1;8;1;"1"
"1700";1914;1;0;0;0;0;0;0;3;2;0;"2"
"1701";1921;1;0;0;0;0;0;0;3;4;0;"2"
"1702";1990;2;2;0;0;0;0;0;3;31;0;"1"
"1703";1921;1;1;0;1;0;0;0;3;2;0;"2"
"1704";1986;6;81;0;76;12;3;4;3;11;1;"1"
"1705";2020;8;24;0;0;0;0;0;4;18;1;"1"
"1706";1959;1;0;0;0;0;0;0;3;1;0;"2"
"1707";2004;2;6;1;0;0;0;0;3;15;0;"1"
"1708";1915;1;0;0;0;0;0;0;3;17;0;"2"
"1709";1991;2;0;0;0;0;0;0;3;5;0;"1"
"1710";1989;1;26;1;26;13;0;0;3;12;1;"1"
"1711";1923;1;0;0;0;0;0;0;3;1;0;"2"
"1712";2006;1;0;0;0;0;0;0;3;3;0;"1"
"1713";1988;1;6;0;6;4;0;0;3;7;0;"1"
"1714";2001;1;3;1;3;0;0;0;3;1;0;"1"
"1715";1914;1;0;0;0;0;0;0;3;27;0;"2"
"1716";1927;1;1;0;1;0;0;0;3;16;0;"2"
"1717";2006;2;4;0;4;4;2;2;3;10;0;"1"
"1718";1914;1;0;0;0;0;0;0;3;45;0;"2"
"1719";1997;9;5;0;0;0;0;0;3;14;0;"1"
"1720";1995;1;5;1;5;5;4;4;3;12;0;"1"
"1721";1990;19;39;0;35;3;1;2;3;3;1;"1"
"1722";2017;1;0;0;0;0;0;0;3;5;0;"1"
"1723";2020;8;13;0;0;0;0;0;2;24;1;"1"
"1724";1913;1;0;0;0;0;0;0;3;11;0;"2"
"1725";1984;1;49;0;49;26;1;2;3;29;1;"1"
"1726";2007;1;0;0;0;0;0;0;3;12;0;"1"
"1727";2004;2;3;0;3;5;1;1;3;13;0;"1"
