"";"Publication.Year";"Count.of.Simple.Family.Members";"Simple.Family.Cited.by.Count";"Count.of.Other.References";"Count.of.Cited.by.Patents";"Count.of.Cites.Patents";"Count.of.Cited.by.Patents.Within.3.years";"Count.of.Cited.by.Patents.Within.5.years";"Simple.Legal.Status";"Count.of.claims";"Quality.of.Family";"Cluster"
"961";2007;1;17;0;17;5;0;2;3;20;1;"1"
"962";2011;5;6;0;6;17;2;4;3;14;1;"1"
"963";2003;1;1;0;1;0;0;0;3;7;1;"1"
"964";2003;1;3;0;3;0;1;1;3;25;1;"1"
"965";2020;1;0;0;0;0;0;0;3;11;1;"1"
"966";2005;1;4;0;4;0;0;0;3;9;1;"1"
"967";2004;1;3;0;3;5;0;2;3;2;1;"1"
"968";2005;1;6;0;6;4;1;1;3;16;1;"1"
"969";2011;1;0;0;0;1;0;0;3;18;1;"1"
"970";2006;1;10;0;10;3;2;3;3;3;1;"1"
"971";2009;1;1;0;1;12;1;1;3;2;1;"1"
"972";2020;1;0;0;0;0;0;0;4;9;0;"1"
"973";2006;1;0;0;0;0;0;0;3;13;0;"1"
"974";2007;1;0;0;0;0;0;0;3;1;0;"1"
"975";2008;16;415;0;98;5;13;19;4;53;1;"1"
"976";1912;1;0;0;0;0;0;0;3;5;0;"2"
"977";2018;1;2;0;2;1;2;2;3;5;0;"1"
"978";2005;8;19;0;12;14;4;5;3;24;1;"1"
"979";1985;3;5;0;5;16;1;2;3;44;1;"1"
"980";1920;1;0;0;0;0;0;0;3;3;0;"2"
"981";2007;1;1;0;1;0;0;1;3;1;0;"1"
"982";1912;1;0;0;0;0;0;0;3;6;0;"2"
"983";2005;2;5;0;1;90;0;0;3;44;1;"1"
"984";1908;1;2;0;2;0;0;0;3;18;0;"2"
"985";2006;6;13;0;0;8;0;0;3;11;1;"1"
"986";1984;14;72;0;68;11;0;1;3;66;1;"1"
"987";1932;1;0;0;0;0;0;0;3;3;0;"2"
"988";1937;1;0;0;0;0;0;0;3;11;0;"2"
"989";2012;5;3;0;1;6;0;0;3;7;0;"1"
"990";1936;1;0;0;0;0;0;0;3;4;0;"2"
"991";1981;1;23;1;23;2;1;5;3;12;1;"1"
"992";2004;4;42;0;0;5;0;0;1;77;1;"1"
"993";1962;1;0;0;0;0;0;0;3;1;0;"2"
"994";1987;1;6;1;6;0;0;1;3;39;0;"1"
"995";1931;1;0;0;0;0;0;0;3;1;0;"2"
"996";2018;8;26;1;0;4;0;0;4;58;1;"1"
"997";1946;1;3;0;3;0;0;0;3;9;0;"2"
"998";1987;8;49;0;38;12;2;8;3;8;1;"1"
"999";2006;1;0;0;0;0;0;0;3;4;0;"1"
"1000";1983;2;0;0;0;0;0;0;3;9;0;"1"
"1001";1910;1;0;0;0;0;0;0;3;8;0;"2"
"1002";2009;1;15;0;15;0;5;9;3;24;0;"1"
"1003";1972;4;13;0;9;7;0;0;3;25;1;"1"
"1004";2000;4;97;0;97;5;4;18;3;62;1;"1"
"1005";2010;2;8;0;4;11;0;2;3;20;1;"1"
"1006";1998;3;3;0;0;2;0;0;3;73;0;"1"
"1007";1975;9;15;0;10;2;0;1;3;16;1;"1"
"1008";1941;1;0;0;0;0;0;0;3;4;0;"2"
"1009";1976;1;0;0;0;0;0;0;3;19;0;"1"
"1010";1977;1;131;0;131;10;4;5;3;13;1;"1"
"1011";1972;6;13;0;1;0;0;0;3;14;1;"1"
"1012";1990;1;0;0;0;0;0;0;3;72;0;"1"
"1013";2011;2;3;0;3;4;0;2;1;13;0;"1"
"1014";2015;1;1;0;1;0;0;0;3;10;0;"1"
"1015";1926;1;0;0;0;0;0;0;3;3;0;"2"
"1016";1947;1;3;0;3;0;0;0;3;20;0;"2"
"1017";1936;1;1;0;1;0;0;0;3;1;0;"2"
"1018";1926;1;0;0;0;0;0;0;3;3;0;"2"
"1019";1913;1;0;0;0;0;0;0;3;6;0;"2"
"1020";2016;1;7;0;7;0;5;5;3;7;0;"1"
"1021";1937;1;0;0;0;0;0;0;3;10;0;"2"
"1022";1926;1;0;0;0;0;0;0;3;6;0;"2"
"1023";2009;2;3;0;0;3;0;0;3;5;0;"1"
"1024";2001;1;2;0;2;0;0;0;3;3;0;"1"
"1025";1934;1;0;0;0;0;0;0;3;14;0;"2"
"1026";2004;1;1;0;1;0;0;0;3;3;0;"1"
"1027";1999;12;27;0;13;13;1;2;3;18;1;"1"
"1028";2012;3;9;0;5;2;1;3;3;20;1;"1"
"1029";2013;15;24;0;0;0;0;0;3;11;1;"1"
"1030";1953;1;2;0;2;0;0;0;3;5;0;"2"
"1031";1914;1;0;0;0;0;0;0;3;25;0;"2"
"1032";2015;5;11;0;1;6;1;1;3;1;1;"1"
"1033";1920;1;0;0;0;0;0;0;3;12;0;"2"
"1034";1965;3;1;0;0;0;0;0;3;12;0;"2"
"1035";2015;1;0;0;0;0;0;0;3;3;0;"1"
"1036";2013;3;44;0;16;10;8;14;4;24;1;"1"
"1037";2005;2;11;0;10;5;2;3;3;65;0;"1"
"1038";1943;1;3;0;3;0;2;2;3;13;0;"2"
"1039";2017;1;0;0;0;3;0;0;1;3;0;"1"
"1040";1911;1;0;0;0;0;0;0;3;25;0;"2"
"1041";1988;1;18;0;18;19;3;3;3;39;1;"1"
"1042";2004;1;7;0;7;0;0;0;3;8;0;"1"
"1043";1937;1;0;0;0;0;0;0;3;24;0;"2"
"1044";1916;1;2;0;2;0;0;0;3;9;0;"2"
"1045";2010;1;4;0;4;1;1;3;3;34;0;"1"
"1046";1946;1;0;0;0;0;0;0;3;7;0;"2"
"1047";1999;1;7;0;7;0;0;1;3;25;0;"1"
"1048";1912;1;0;0;0;0;0;0;3;5;0;"2"
"1049";1937;1;0;0;0;0;0;0;3;1;0;"2"
"1050";2006;2;2;0;2;7;1;1;1;5;0;"1"
"1051";2015;1;0;0;0;0;0;0;3;1;0;"1"
"1052";1925;1;0;0;0;0;0;0;3;1;0;"2"
"1053";2020;4;2;4;0;70;0;0;4;23;1;"1"
"1054";1986;1;4;0;4;9;0;0;3;19;1;"1"
"1055";2004;1;5;0;5;0;1;4;2;19;1;"1"
"1056";1918;1;0;0;0;0;0;0;3;3;0;"2"
"1057";2000;1;1;0;1;0;0;0;3;4;0;"1"
"1058";1994;1;2;0;2;0;0;2;3;3;0;"1"
"1059";1962;1;1;0;1;0;0;0;3;17;0;"2"
"1060";2001;1;1;0;1;0;0;0;3;6;0;"1"
"1061";2010;1;0;0;0;2;0;0;3;30;0;"1"
"1062";2017;1;2;0;2;7;2;2;3;9;0;"1"
"1063";2003;3;13;0;1;11;0;0;3;15;0;"1"
"1064";1918;1;4;0;4;0;0;0;3;11;0;"2"
"1065";2004;1;1;0;1;0;0;0;3;97;0;"1"
"1066";1925;1;0;0;0;0;0;0;3;1;0;"2"
"1067";2000;1;271;0;271;9;10;38;3;12;1;"1"
"1068";1957;1;1;0;1;0;0;0;3;1;0;"2"
"1069";2004;12;32;1;7;7;2;2;1;36;1;"1"
"1070";2004;2;3;0;0;0;0;0;3;1;0;"1"
"1071";1961;1;0;0;0;0;0;0;3;1;0;"2"
"1072";1976;1;1;0;1;0;0;0;3;6;0;"1"
"1073";1927;1;0;0;0;0;0;0;3;1;0;"2"
"1074";1910;1;0;0;0;0;0;0;3;6;0;"2"
"1075";2006;1;2;0;2;0;0;0;3;11;0;"1"
"1076";1972;1;8;0;8;4;0;0;3;12;1;"1"
"1077";2009;2;0;0;0;0;0;0;3;60;0;"1"
"1078";1922;1;0;0;0;0;0;0;3;1;0;"2"
"1079";1957;1;4;0;4;0;0;0;3;1;0;"2"
"1080";2014;1;0;0;0;0;0;0;3;1;0;"1"
"1081";1904;1;0;0;0;0;0;0;3;25;0;"2"
"1082";2014;4;2;0;1;2;1;1;1;22;1;"1"
"1083";2009;1;0;0;0;0;0;0;3;7;0;"1"
"1084";1966;1;0;0;0;0;0;0;3;1;0;"2"
"1085";2015;1;1;0;1;4;1;1;3;15;0;"1"
"1086";2018;2;0;0;0;4;0;0;1;15;0;"1"
"1087";1988;2;1;1;1;8;0;0;3;33;0;"1"
"1088";1972;1;20;0;20;4;0;0;3;11;1;"1"
"1089";1997;1;0;0;0;0;0;0;3;1;0;"1"
"1090";2000;2;5;2;5;4;0;0;3;26;0;"1"
"1091";1984;1;4;0;4;4;0;2;3;2;0;"1"
"1092";1962;1;1;0;1;0;0;0;3;16;0;"2"
"1093";2005;1;0;0;0;0;0;0;3;12;0;"1"
"1094";2000;4;5;0;3;7;0;2;1;4;0;"1"
"1095";1998;2;12;0;12;11;1;8;3;21;0;"1"
"1096";1913;1;0;0;0;0;0;0;3;6;0;"2"
"1097";2003;1;93;4;93;26;13;16;3;21;1;"1"
"1098";1961;1;0;0;0;0;0;0;3;1;0;"2"
"1099";1991;1;0;0;0;0;0;0;3;1;0;"1"
"1100";1923;1;1;0;1;0;0;0;3;1;0;"2"
"1101";2006;6;308;1;41;5;2;14;1;21;1;"1"
"1102";1973;1;33;0;33;9;0;0;3;7;1;"1"
"1103";2006;4;21;0;13;14;0;4;3;19;1;"1"
"1104";1996;2;25;0;10;0;1;3;3;96;0;"1"
"1105";1911;1;0;0;0;0;0;0;3;3;0;"2"
"1106";1924;1;0;0;0;0;0;0;3;1;0;"2"
"1107";1978;2;9;0;9;10;0;0;3;9;1;"1"
"1108";2015;1;4;0;4;0;4;4;3;2;0;"1"
"1109";1911;1;0;0;0;0;0;0;3;30;0;"2"
"1110";1990;1;0;0;0;5;0;0;3;26;0;"1"
"1111";2001;1;26;6;26;18;8;13;3;37;1;"1"
"1112";1920;1;0;0;0;0;0;0;3;7;0;"2"
"1113";1931;1;0;0;0;0;0;0;3;1;0;"2"
"1114";2002;2;2;0;2;5;2;2;1;21;0;"1"
"1115";2007;1;9;0;9;0;1;2;3;24;0;"1"
"1116";1997;1;0;0;0;0;0;0;3;1;0;"1"
"1117";1925;1;1;0;1;0;0;0;3;6;0;"2"
